Date : 2023-05-21 12:01:28
Directory : d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\java\es\ucm\fdi\arties
Total : 89 files,  -24572 codes, -2486 comments, -6153 blanks, all -33211 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Java Properties |          1 |        -24 |        -17 |        -10 |        -51 |
| XML             |          1 |       -116 |         -1 |         -6 |       -123 |
| SQL             |          1 |       -204 |        -54 |        -97 |       -355 |
| HTML            |         29 |     -2,929 |       -497 |       -975 |     -4,401 |
| JavaScript      |         25 |     -8,417 |     -1,056 |     -2,434 |    -11,907 |
| CSS             |         32 |    -12,882 |       -861 |     -2,631 |    -16,374 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                         |         89 |    -24,572 |     -2,486 |     -6,153 |    -33,211 |
| ..                                                                                                                                        |         89 |    -24,572 |     -2,486 |     -6,153 |    -33,211 |
| ..\..                                                                                                                                     |         89 |    -24,572 |     -2,486 |     -6,153 |    -33,211 |
| ..\..\..                                                                                                                                  |         89 |    -24,572 |     -2,486 |     -6,153 |    -33,211 |
| ..\..\..\..                                                                                                                               |         89 |    -24,572 |     -2,486 |     -6,153 |    -33,211 |
| ..\..\..\..\..                                                                                                                            |         89 |    -24,572 |     -2,486 |     -6,153 |    -33,211 |
| ..\..\..\..\..\..                                                                                                                         |          1 |       -116 |         -1 |         -6 |       -123 |
| ..\..\..\..\..\..\..                                                                                                                      |          1 |       -116 |         -1 |         -6 |       -123 |
| ..\..\..\..\..\resources                                                                                                                  |         88 |    -24,456 |     -2,485 |     -6,147 |    -33,088 |
| ..\..\..\..\..\resources (Files)                                                                                                          |          2 |       -228 |        -71 |       -107 |       -406 |
| ..\..\..\..\..\resources\static                                                                                                           |         57 |    -21,299 |     -1,917 |     -5,065 |    -28,281 |
| ..\..\..\..\..\resources\static\css                                                                                                       |         32 |    -12,882 |       -861 |     -2,631 |    -16,374 |
| ..\..\..\..\..\resources\static\css (Files)                                                                                               |         31 |    -12,830 |       -857 |     -2,629 |    -16,316 |
| ..\..\..\..\..\resources\static\css\elements                                                                                              |          1 |        -52 |         -4 |         -2 |        -58 |
| ..\..\..\..\..\resources\static\js                                                                                                        |         25 |     -8,417 |     -1,056 |     -2,434 |    -11,907 |
| ..\..\..\..\..\resources\templates                                                                                                        |         29 |     -2,929 |       -497 |       -975 |     -4,401 |
| ..\..\..\..\..\resources\templates (Files)                                                                                                |         26 |     -2,688 |       -476 |       -916 |     -4,080 |
| ..\..\..\..\..\resources\templates\fragments                                                                                              |          3 |       -241 |        -21 |        -59 |       -321 |
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                                                  | language        | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\pom.xml                                                | XML             |       -116 |         -1 |         -6 |       -123 |
| d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\application.properties              | Java Properties |        -24 |        -17 |        -10 |        -51 |
| d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\import.sql                          | SQL             |       -204 |        -54 |        -97 |       -355 |
| d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\addCourse.css            | CSS             |        -87 |         -8 |        -21 |       -116 |
| d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\bookLesson.css           | CSS             |       -125 |        -14 |        -49 |       -188 |
| d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\bootstrap-5.1.3.css      | CSS             |     -9,497 |        -27 |     -1,742 |    -11,266 |
| d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\calendar.css             | CSS             |       -346 |       -315 |        -65 |       -726 |
| d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\carrouselCard.css        | CSS             |        -57 |        -33 |        -15 |       -105 |
| d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\chat.css                 | CSS             |       -303 |        -35 |        -58 |       -396 |
| d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\chats.css                | CSS             |       -179 |        -18 |        -32 |       -229 |
| d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\courses.css              | CSS             |       -115 |        -38 |        -42 |       -195 |
| d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\coursesStaff.css         | CSS             |         -3 |          0 |          0 |         -3 |
| d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\custom.css               | CSS             |        -72 |        -22 |        -38 |       -132 |
