"filename", "language", "SQL", "Java Properties", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\application.properties", "Java Properties", 0, 24, 0, 0, 0, 17, 10, 51
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\import.sql", "SQL", 204, 0, 0, 0, 0, 54, 97, 355
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\addCourse.css", "CSS", 0, 0, 0, 0, 87, 8, 21, 116
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\bookLesson.css", "CSS", 0, 0, 0, 0, 125, 14, 49, 188
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\calendar.css", "CSS", 0, 0, 0, 0, 346, 315, 65, 726
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\carrouselCard.css", "CSS", 0, 0, 0, 0, 57, 33, 15, 105
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\chat.css", "CSS", 0, 0, 0, 0, 303, 35, 58, 396
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\chats.css", "CSS", 0, 0, 0, 0, 179, 18, 32, 229
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\courses.css", "CSS", 0, 0, 0, 0, 115, 38, 42, 195
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\coursesStaff.css", "CSS", 0, 0, 0, 0, 3, 0, 0, 3
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\custom.css", "CSS", 0, 0, 0, 0, 72, 22, 38, 132
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\elements\textInputs.css", "CSS", 0, 0, 0, 0, 52, 4, 2, 58
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\resources\static\css\generalCards.css", "CSS", 0, 0, 0, 0, 195, 71, 53, 319
